date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:35	24/24	---M--	200	added ('OK')	text/plain	etag:%22eba58d8841627116bc0a732b3f57aa6b-ssl%22	https://www.rammaheshwari.com/robots.txt		(from )
12:04:36	19620/19620	---MCZ	200	added ('OK')	text/html	etag:%22202c0efc34f20b284dd49f856163b03b-ssl-df%22	https://www.rammaheshwari.com/	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/index.html	(from )
12:04:36	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22c8c913c6b59b51c46ff782585119d5dd-ssl%22	https://www.rammaheshwari.com/favicon.ico	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/favicon.ico	(from https://www.rammaheshwari.com/)
12:04:37	1031/1031	---M--	404	error ('Not%20Found')	image/png	date:Mon,%2007%20Apr%202025%2006:34:37%20GMT	https://i.ibb.co/C8Wnkrt/pretty-snap-2022-3-29-16-11.png	C:/My%20Web%20Sites/Portfoliooooooooooo/i.ibb.co/C8Wnkrt/pretty-snap-2022-3-29-16-11.1.delayed	(from https://www.rammaheshwari.com/)
12:04:39	13482/13482	---MCZ	200	added ('OK')	text/css	etag:%224f75e73e49a4c059ecbb888df761a371-ssl-df%22	https://www.rammaheshwari.com/css/style.css	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/css/style.css	(from https://www.rammaheshwari.com/)
12:04:39	142/142	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2007%20Apr%202025%2006:34:39%20GMT	https://i.postimg.cc/TwY74D31/profile-pic-8.png	C:/My%20Web%20Sites/Portfoliooooooooooo/i.postimg.cc/TwY74D31/profile-pic-8.3.delayed	(from https://www.rammaheshwari.com/)
12:04:40	338/338	---M--	200	added ('OK')	image/svg+xml	etag:%22f45d5cdb71438f16d4dbded072349f7e-ssl%22	https://www.rammaheshwari.com/assets/svg/ham-menu.svg	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/svg/ham-menu.svg	(from https://www.rammaheshwari.com/)
12:04:41	291/291	---M--	200	added ('OK')	image/svg+xml	etag:%22bd964d6430e405e43179fdc917bd7527-ssl%22	https://www.rammaheshwari.com/assets/svg/ham-menu-close.svg	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/svg/ham-menu-close.svg	(from https://www.rammaheshwari.com/)
12:04:41	662/662	---M--	200	added ('OK')	image/svg+xml	etag:%22dc9387cca830a0e155ee3e0e848f51e9-ssl%22	https://www.rammaheshwari.com/assets/svg/linkedin-dark.svg	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/svg/linkedin-dark.svg	(from https://www.rammaheshwari.com/)
12:04:42	682/682	---M--	200	added ('OK')	image/svg+xml	etag:%22958f0ed7f173f6055926aaf3fb876f9f-ssl%22	https://www.rammaheshwari.com/assets/svg/twitter-dark.svg	C:/My%20Web%20Sites/Portfoliooooooooooo/www.rammaheshwari.com/assets/svg/twitter-dark.svg	(from https://www.rammaheshwari.com/)
